DATE_DECISION,AMT_CREDIT,SKP_CREDIT_STATUS,SKP_ALTERNATIVE_TYPE,TEXT_CUTOFF_DESC_PRE,PRODUCT_RISK_GROUP,ZHIMA_SCORE,SCORE,RANDOMNUMBER2
08/05/2017,45000,8,2,High risk group others WF medium,high,655,0.082735315,0.781155162
08/05/2017,45000,8,2,High risk group others WF hard,high,660,0.180469403,0.226896696
08/05/2017,25000,8,4,High risk group others WF medium,high,615,0.203176529,0.821754801
08/05/2017,25000,8,4,Medium Risk group others WF medium,medium,668,0.141861735,0.329388915
08/05/2017,30000,8,4,Medium Risk group others WF medium,medium,618,0.118450131,0.385617766
08/05/2017,40000,8,2,,high,598,,0.952741434
08/05/2017,40000,8,2,,high,,,0.275969939
08/05/2017,10000,8,2,,high,686,,0.863917496
08/05/2017,25000,8,4,High Fraud Matrix score,high,555,0.107196515,0.241304212
08/05/2017,30000,8,2,,,,,0.047623456
08/05/2017,40000,8,2,,,,,0.347147334
